Year,Category,Bronx,Brooklyn,Manhattan,Queens,Staten island,Citywide
2021,contracted_legal_language_farsi,0,0,0,0,0,0
2021,contracted_legal_language_polish,0,1,0,0,0,1
2021,contracted_legal_language_portuguese,0,0,1,0,0,1
2021,Contracted Legal Language: French,0,1,0,0,0,1
2021,Contracted Legal Language: Mandarin,0,0,1,0,0,1
2021,Contracted_NonLegal_Case_Management,4,4,3,3,3,17
2021,Contracted_NonLegal_Children_Services,5,4,4,4,4,21
2021,Contracted_NonLegal_Reception_Screening,4,4,3,4,4,19
2021,Econ_Empower_W!SE,1,1,1,1,1,5
2021,Econ_Empower_Steps_Success,0,0,1,0,0,1
2021,Econ_Empower_Everywhere,0,0,1,0,0,1
2021,Econ_Empower_SFF,1,0,1,0,0,2
2021,Econ_Empower_GetCoveredNYC,1,0,0,0,0,1
2021,Econ_Empower_HRA,1,1,1,1,1,5
2021,Econ_Empower_SNAP,1,1,0,0,0,2
2021,Econ_Empower_HousingLink,1,1,1,0,1,4
2021,Econ_Empower_Computer Time,0,0,0,1,0,1
2021,Training_City_Agency_Staff,,,,,,42
2021,Training_Non_Profit_Staff,,,,,,75
2021,Training_Community_Members,,,,,,8
2021,Training_Total,,,,,,125
2021,Healthy_Rel_Workshops_Youth,,,,,,107
2021,Healthy_Rel_Workshops_Parents,,,,,,11
2021,Healthy_Rel_Workshops_Staff,,,,,,1
2021,Healthy_Rel_Workshops_Total,,,,,,119
2021,Outreach_Communiity_Events,,,,,,139
2021,Outreach_Communiity_Meetings,,,,,,90
2021,Outreach_Presentations,,,,,,26
2021,Outreach_Total,,,,,,261
2021,Reports_Published_Annual_Reports,,,,,,"ENDGBV Annual Fact Sheet 2020;

ENDGBV Annual Report 2020;

2021 Annual Report on Outreach to Cosmetologists;

2021 Family Justice Center Client Satisfaction Survey Results;

2020 Annual Report on Domestic Violence Initiatives, Indicators and Factors"
2021,Reports_Published_Research_Reports,,,,,,"COVID-19 Impact Survey for Survivors of Domestic Violence Report;

The Intersection of Domestic Violence, Race/Ethnicity and Sex 2020;

Early Relationship Abuse Prevention Program (Early RAPP) Report;

Evaluation Summary Report: Emergency Financial Relief Microgrants Program for Survivors of Domestic and Gender-Based Violence;

2021 Survey and Convening Findings on Wellness from Domestic and Gender-Based Violence (GBV) Service Providers During COVID-19"
2021,Reports_Published_Data_Reports,,,,,,"2020 Intimate Partner Violence Snapshot;

2020 Family-Related Violence Snapshot"
2021,Reports_Published_Other_Reports,,,,,,"2021 Annual Domestic Violence Fatality Review Committee Report;

Using Restorative Approaches to Address Intimate Partner Violence: A New York City Blueprint"
2022,FJC_Client_Visits,"12,188","11,414","9,028","11,463","6,705","50,798"
2022,FJC_Unique_Clients,"3,637","3,574","2,412","4,600","1,683","15,906"
2022,FJC_Unique_Clients_Service_Safety_Plan,"3,021","2,449","2,114","3,111","1,412","12,107"
2022,FJC_Unique_Clients_Service_Crim_Just,942,258,276,448,381,"2,305"
2022,FJC_Unique_Clients_Service_Civ_Legal,"1,011","1,186",839,993,632,"4,661"
2022,FJC_Unique_Clients_Service_Counseling,812,626,697,"1,020",391,"3,546"
2022,FJC_Unique_Clients_Service_Prac_Assistance,276,200,115,212,154,957
2022,FJC_Unique_Clients_Service_Eco_Empower,68,167,271,92,124,722
2022,FJC_Unique_Clients_Service_Housing_Shelter,91,621,454,97,280,"1,543"
2022,FJC_Unique_Clients_Service_Health_Mental_Health,37,175,98,69,30,409
2022,Contracted_Legal_Family_Law,2,2,2,2,2,10
2022,Contracted_Legal_Family_Law_Para,1,1,1,1,1,5
2022,Contracted_Legal_Immigration_Law,1,1,1,1,1,5
2022,Contracted_Legal_Immigration_Law_Para,,,,,,5
2022,Contracted_Legal_Housing_Law,,,,,,3
2022,Contracted_Legal_Language_Spanish,7,1,3,3,3,17
2022,Contracted_Legal_Language_Arabic,0,0,0,0,0,0
2022,Contracted_Legal_Language_Korean,0,0,0,1,0,1
2022,Contracted_Legal_Language_Russian,0,0,1,0,0,1
2022,contracted_legal_language_farsi,0,0,0,0,0,0
2022,contracted_legal_language_polish,0,0,0,0,0,0
2022,contracted_legal_language_portuguese,0,0,1,0,0,1
2022,Contracted Legal Language: French,0,1,0,0,0,1
2022,Contracted Legal Language: Mandarin,0,0,1,0,0,1
2022,Contracted_NonLegal_Case_Management,5,5,3,5,3,21
2022,Contracted_NonLegal_Children_Services,5,5,4,4,4,22
2022,Contracted_NonLegal_Reception_Screening,4,4,4,4,4,20
2022,Econ_Empower_W!SE,1,1,1,0,1,4
2022,Econ_Empower_Steps_Success,0,0,1,0,0,1
2022,Econ_Empower_Everywhere,0,0,1,0,0,1
2022,Econ_Empower_SFF,1,0,1,0,0,2
2022,Econ_Empower_GetCoveredNYC,1,0,1,0,0,2
2022,Econ_Empower_HRA,1,1,1,1,1,5
2022,Econ_Empower_SNAP,1,1,0,0,0,2
2022,Econ_Empower_HousingLink,1,1,1,1,1,5
2022,Econ_Empower_Computer Time,0,0,0,1,0,1
2022,Training_City_Agency_Staff,,,,,,39
2022,Training_Non_Profit_Staff,,,,,,19
2022,Training_Community_Members,,,,,,0
2022,Training_Other,,,,,,11
2022,Training_Total,,,,,,69
2022,Outreach_Communiity_Events,,,,,,131
2022,Outreach_Communiity_Meetings,,,,,,54
2022,Outreach_Presentations,,,,,,18
2022,Outreach_Other,,,,,,15
2022,Outreach_Community_Outreach,,,,,,141
2022,Outreach_Salon,,,,,,131
2022,Outreach_Total,,,,,,490
2022,Reports_Published_Annual_Reports,,,,,,"ENDGBV Annual Fact Sheet: 2021;

ENDGBV Annual Report: 2021;

2022 Annual Report on Outreach to Cosmetologists;

2022 Family Justice Center Client Satisfaction Survey Results;

2021 Annual Report on Domestic Violence Initiatives, Indicators and Factors"
2022,Reports_Published_Research_Reports,,,,,,"2022 Rates of Intimate Partner Violence Across New York City: An Intersectional Analysis ;

2020-21 Domestic Violence Race/Ethnicity and Sex Report"
2022,Reports_Published_Data_Reports,,,,,,"2021 Intimate Partner Violence Snapshot;

2021 Family-Related Violence  Snapshot"
2023,FJC_Client_Visits,"11,033","10,492","8,931","11,906","6,801","49,163"
2023,FJC_Unique_Clients,"4,180","3,427","2,312","4,445","1,695","16,059"
2023,FJC_Unique_Clients_Service_Safety_Plan,"3,690","2,023","2,139","2,960","1,488","12,300"
2023,FJC_Unique_Clients_Service_Crim_Just,"1,682",107,192,"1,224",371,"3,576"
2023,FJC_Unique_Clients_Service_Civ_Legal,884,"1,275",723,901,418,"4,201"
2023,FJC_Unique_Clients_Service_Counseling,456,581,734,685,314,"2,770"
2023,FJC_Unique_Clients_Service_Prac_Assistance,332,503,231,339,165,"1,570"
2023,FJC_Unique_Clients_Service_Eco_Empower,129,193,136,169,137,764
2023,FJC_Unique_Clients_Service_Housing_Shelter,184,563,294,169,230,"1,440"
2023,FJC_Unique_Clients_Service_Health_Mental_Health,46,185,106,82,61,480
